Dataset,Nu,Semilla,Modelo,Funcion_Objetivo,Tiempo,Bar_iter,Accuracy_Train,Accuracy_Test,Num_exec
Points_100,0.01,77214914,Primal,-35.192091552444545,0.006066,32,0.5,0.5,1
Points_100,0.01,77214914,DualSinKernel,0.6849190498906522,0.002862,7,0.9142857142857143,0.8333333333333334,1
Points_100,0.01,77214914,DualRBF,0.6818568404646945,0.004841,7,0.9285714285714286,0.8333333333333334,1
Points_100,0.1,77214914,Primal,-347.63850449845927,0.005286,20,0.5,0.5,1
Points_100,0.1,77214914,DualSinKernel,5.5241683392103225,0.003086,9,0.9142857142857143,0.8666666666666667,1
Points_100,0.1,77214914,DualRBF,5.194875650837485,0.005862,10,0.6285714285714286,0.6,1
Points_100,0.0,77214914,Primal,0.0,0.001473,-1,0.5,0.5,1
Points_100,0.0,77214914,DualSinKernel,0.0,-1.0,-1,0.5,0.5,1
Points_100,0.0,77214914,DualRBF,0.0,-1.0,-1,0.5,0.5,1
Points_100,1.0,77214914,Primal,-5875.037882989063,0.004506,14,0.5,0.5,1
Points_100,1.0,77214914,DualSinKernel,28.90730046728784,0.003224,11,0.9285714285714286,0.8666666666666667,1
Points_100,1.0,77214914,DualRBF,22.386669160377362,0.005882,11,0.9571428571428572,0.8333333333333334,1
Points_100,10.0,77214914,Primal,-62675.543973695916,0.004916,19,0.4,0.43333333333333335,1
Points_100,10.0,77214914,DualSinKernel,160.17800796550813,0.00354,14,0.9428571428571428,0.8666666666666667,1
Points_100,10.0,77214914,DualRBF,87.06833286291099,0.005296,9,0.9857142857142858,0.8333333333333334,1
Points_100,100.0,77214914,Primal,-1242438.697223133,0.004319,13,0.08571428571428572,0.16666666666666666,1
Points_100,100.0,77214914,DualSinKernel,1194.1885340968693,0.003544,13,0.9571428571428572,0.8666666666666667,1
Points_100,100.0,77214914,DualRBF,217.79802978378356,0.006133,11,1.0,0.7666666666666667,1
Points_1000,0.01,77214914,Primal,-25.508331784465344,0.018915,33,0.3314285714285714,0.3566666666666667,1
Points_1000,0.01,77214914,DualSinKernel,5.7540347975256525,0.017611,14,0.9142857142857143,0.9133333333333333,1
Points_1000,0.01,77214914,DualRBF,5.601526202688888,0.34442,16,0.9171428571428571,0.9066666666666666,1
Points_1000,0.1,77214914,Primal,-394.8837168625138,0.021516,28,0.1657142857142857,0.22,1
Points_1000,0.1,77214914,DualSinKernel,34.119890349835636,0.015093,14,0.9228571428571428,0.9066666666666666,1
Points_1000,0.1,77214914,DualRBF,29.950828131716335,0.245858,14,0.9214285714285714,0.9166666666666666,1
Points_1000,0.0,77214914,Primal,0.0,0.001858,-1,0.5171428571428571,0.5166666666666667,1
Points_1000,0.0,77214914,DualSinKernel,0.0,-1.0,-1,0.5171428571428571,0.5166666666666667,1
Points_1000,0.0,77214914,DualRBF,0.0,-1.0,-1,0.4828571428571429,0.48333333333333334,1
Points_1000,1.0,77214914,Primal,-10597.271470591557,0.013012,19,0.08,0.09333333333333334,1
Points_1000,1.0,77214914,DualSinKernel,228.98815768271356,0.01656,19,0.9357142857142857,0.93,1
Points_1000,1.0,77214914,DualRBF,187.6752131412116,0.274469,17,0.9328571428571428,0.9166666666666666,1
Points_1000,10.0,77214914,Primal,-291232.72972173203,0.013806,21,0.06,0.07333333333333333,1
Points_1000,10.0,77214914,DualSinKernel,2004.9972495284505,0.018044,24,0.9357142857142857,0.9266666666666666,1
Points_1000,10.0,77214914,DualRBF,1401.7531255409504,0.267614,16,0.9385714285714286,0.9133333333333333,1
Points_1000,100.0,77214914,Primal,-3866416.1399831097,0.018301,27,0.06,0.06666666666666667,1
Points_1000,100.0,77214914,DualSinKernel,19659.80719088862,0.01855,25,0.9357142857142857,0.93,1
Points_1000,100.0,77214914,DualRBF,10274.3260915513,0.269051,16,0.9471428571428572,0.8933333333333333,1
Points_2000,0.01,77214914,Primal,-56.822500896696056,0.017248,22,0.15285714285714286,0.15166666666666667,1
Points_2000,0.01,77214914,DualSinKernel,10.257773333260193,0.077667,12,0.9364285714285714,0.9316666666666666,1
Points_2000,0.01,77214914,DualRBF,9.661592492311868,1.321423,12,0.9307142857142857,0.925,1
Points_2000,0.1,77214914,Primal,-868.249976039133,0.018345,20,0.075,0.07666666666666666,1
Points_2000,0.1,77214914,DualSinKernel,60.9191970085176,0.081162,17,0.9421428571428572,0.93,1
Points_2000,0.1,77214914,DualRBF,52.78699487060041,1.521571,17,0.93,0.915,1
Points_2000,0.0,77214914,Primal,0.0,0.002023,-1,0.5092857142857142,0.51,1
Points_2000,0.0,77214914,DualSinKernel,0.0,-1.0,-1,0.5092857142857142,0.51,1
Points_2000,0.0,77214914,DualRBF,0.0,-1.0,-1,0.4907142857142857,0.49,1
